material,type,index,name,attribution_mpnn,attribution,sign,smiles,predicted_score,task
2PAPI,extra_feature,0,Alkyl,,-0.0289547704160213,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,extra_feature,1,TailSym,,-0.8751029372215271,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,extra_feature,2,TailPlanarity,,1.600867748260498,positive,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,extra_feature,3,NumHAcceptors,,-0.3140258491039276,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,extra_feature,4,NumHDonors,,0.0256340727210044,positive,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,extra_feature,5,TPSA,,0.0628725364804267,positive,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,extra_feature,6,MolLogP,,-2.6874542236328125,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,extra_feature,7,HOMO,,-1.364854335784912,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,extra_feature,8,dipole,,0.6337952613830566,positive,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,extra_feature,9,MPI,,-0.1203903332352638,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,extra_feature,10,surface_min,,0.9388803839683532,positive,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,extra_feature,11,surface_max,,0.3713269829750061,positive,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,extra_feature,12,PSA,,-1.281904935836792,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
4PAAO,atom,0,atom_0,0.4716733694076538,0.4716733694076538,positive,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,1,atom_1,0.2986941039562225,0.2986941039562225,positive,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,2,atom_2,0.2277586460113525,0.2277586460113525,positive,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,3,atom_3,-0.2640646696090698,-0.2640646696090698,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,4,atom_4,-0.1673049181699752,-0.1673049181699752,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,5,atom_5,-0.1768116652965545,-0.1768116652965545,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,6,atom_6,-0.213500514626503,-0.213500514626503,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,7,atom_7,0.1010506451129913,0.1010506451129913,positive,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,8,atom_8,0.0606489926576614,0.0606489926576614,positive,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,9,atom_9,-0.3264440894126892,-0.3264440894126892,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,10,atom_10,-0.4336022436618805,-0.4336022436618805,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,11,atom_11,-0.5385075211524963,-0.5385075211524963,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,12,atom_12,-0.4930016100406647,-0.4930016100406647,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,13,atom_13,-0.1095434129238128,-0.1095434129238128,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,14,atom_14,-0.0600441321730613,-0.0600441321730613,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,15,atom_15,-0.1591728627681732,-0.1591728627681732,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,16,atom_16,-0.1591728627681732,-0.1591728627681732,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,17,atom_17,0.1010506451129913,0.1010506451129913,positive,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,18,atom_18,-0.213500514626503,-0.213500514626503,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,19,atom_19,-0.1768116652965545,-0.1768116652965545,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,20,atom_20,-0.1673049181699752,-0.1673049181699752,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,21,atom_21,-0.2640646696090698,-0.2640646696090698,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
